業種,新聞,雑誌,ラジオ,地上波テレビ
エネルギー・素材・機械,416,110,271,3719
食品,2931,644,1097,14960
飲料・嗜好品,822,475,316,15328
薬品・医療用品,1714,223,761,10451
化粧品・トイレタリー,1676,1124,458,14830
ファッション・アクセサリー,590,2524,51,2430
精密機器・事務用品,301,636,40,462
家電・AV機器,166,458,71,2774
自動車・関連品,320,293,614,7033
家庭用品,393,304,237,4659
趣味・スポーツ用品,370,660,228,4604
不動産・住宅設備,1311,408,710,8453
出版,3487,100,227,1222
情報・通信,2022,543,1139,21653
流通・小売業,4742,398,895,9592
金融・保険,837,336,528,11873
交通・レジャー,4943,1164,974,8923
外食・各種サービス,1085,312,1751,13685
官公庁・団体,1057,240,590,2124
教育・医療サービス・宗教,1003,352,369,3382
案内・その他,1174,46,203,1173
合計,31360,11350,11530,163330
