industry,newspaper,magazine,radio,tv
"Energy, materials, and machinery",416,110,271,3719
Food,2931,644,1097,14960
Beverages and luxury goods,822,475,316,15328
Pharmaceuticals and medical supplies,1714,223,761,10451
Cosmetics and toiletries,1676,1124,458,14830
Fashion and accessories,590,2524,51,2430
Precision instruments and office supplies,301,636,40,462
Home appliances and AV equipment,166,458,71,2774
Automobiles and related products,320,293,614,7033
Household goods,393,304,237,4659
Hobbies and sporting goods,370,660,228,4604
Real estate and housing equipment,1311,408,710,8453
Publishing,3487,100,227,1222
Information and telecommunications,2022,543,1139,21653
Distribution and retail,4742,398,895,9592
Finance and insurance,837,336,528,11873
Transportation and leisure,4943,1164,974,8923
Restaurants and other services,1085,312,1751,13685
Government and organizations,1057,240,590,2124
"Education, medical services, and religion",1003,352,369,3382
Classifieds and other,1174,46,203,1173
Total,31360,11350,11530,163330
