task,Person A,Nakano Takashi,Average men 35-44
Internal meetings,20,11,26
Thinking and planning,10,10,20
Internal mail and chat,15,3,18
External mail and chat,10,5,16
External meetings,15,14,14
Travel time,30,0,14
Learning,5,20,14
Internal documents,10,3,14
Internal inquiries,10,1,11
Commuting,10,0,10
Internal admin,6,1,10
Internal routine work,5,1,9
External documents,5,10,8
External social meals,4,1,7
External routine work,5,3,5
New missions,0,20,4
Internal social meals,4,0,3
Phone and reception,10,0,3
Internal other,10,2,2
External other,10,2,2
